# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.295 2.309 2.322 0.171 0.006 0.143 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.326 2.34 2.354 0.147 0.008 0.175 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.357 2.371 2.385 0.161 0.007 0.159 0.01 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.389 2.402 2.418 0.142 0.007 0.153 0.01 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.422 2.436 2.45 0.142 0.007 0.164 0.01 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.453 2.467 2.48 0.152 0.006 0.145 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.484 2.498 2.512 0.145 0.007 0.155 0.01 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.516 2.53 2.545 0.146 0.007 0.148 0.01 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.549 2.562 2.576 0.143 0.006 0.145 0.009 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.58 2.594 2.607 0.142 0.006 0.149 0.01 nan nan nan nan,
